사례수 (명),전용 앱 구매 (%),쇼핑몰 홈페이지/카페 등 인터넷 접속을 통한 온라인구매 (%),사례수 (명),전용 앱 구매 (%),쇼핑몰 홈페이지/카페 등 인터넷 접속을 통한 온라인구매 (%),사례수 (명),전용 앱 구매 (%),쇼핑몰 홈페이지/카페 등 인터넷 접속을 통한 온라인구매 (%),사례수 (명),전용 앱 구매 (%),쇼핑몰 홈페이지/카페 등 인터넷 접속을 통한 온라인구매 (%),사례수 (명),전용 앱 구매 (%),쇼핑몰 홈페이지/카페 등 인터넷 접속을 통한 온라인구매 (%),사례수 (명),전용 앱 구매 (%),쇼핑몰 홈페이지/카페 등 인터넷 접속을 통한 온라인구매 (%),사례수 (명),전용 앱 구매 (%),쇼핑몰 홈페이지/카페 등 인터넷 접속을 통한 온라인구매 (%),사례수 (명),전용 앱 구매 (%),쇼핑몰 홈페이지/카페 등 인터넷 접속을 통한 온라인구매 (%)
53.7,72.7,27.3,224.3,69.9,30.1,39.4,57.8,42.2,42.9,58.8,41.2,23.6,77.0,23.0,83.1,77.8,22.2,11.2,52.2,47.8,29.6,100.0,0.0
229.7,83.3,16.7,728.7,68.9,31.1,110.6,66.8,33.2,174.2,91.4,8.6,244.9,86.3,13.7,780.3,82.3,17.7,158.6,60.0,40.0,206.1,93.3,6.7
387.1,70.2,29.8,"1,277.8",67.9,32.1,215.4,59.2,40.8,271.3,76.5,23.5,380.9,81.3,18.7,"1,405.6",72.5,27.5,218.4,58.8,41.2,255.0,88.8,11.2
"1,215.7",78.4,21.6,"3,932.2",68.8,31.2,743.3,68.0,32.0,765.5,81.4,18.6,"1,015.3",82.4,17.6,"3,789.8",73.3,26.7,734.5,58.4,41.6,964.3,92.1,7.9
698.9,74.4,25.6,"2,505.1",66.1,33.9,380.3,68.7,31.3,444.1,80.0,20.0,645.6,81.4,18.6,"2,580.6",73.2,26.8,372.6,59.0,41.0,536.5,90.2,9.8
777.6,79.1,20.9,"1,544.4",73.0,27.0,256.5,61.5,38.5,336.3,83.9,16.1,728.6,83.2,16.8,"1,528.9",75.5,24.5,234.4,49.5,50.5,371.8,92.2,7.8
300.8,80.2,19.8,"1,702.0",67.8,32.2,402.4,68.2,31.8,395.4,83.1,16.9,225.7,83.5,16.5,"1,662.4",74.4,25.6,463.4,61.8,38.2,476.7,92.5,7.5
6.5,69.3,30.7,25.9,82.4,17.6,2.5,70.1,29.9,2.8,77.8,22.2,4.6,91.4,8.6,16.9,79.4,20.6,2.5,36.9,63.1,6.1,100.0,0.0
11.0,100.0,0.0,59.1,79.9,20.1,8.7,82.8,17.2,12.3,68.9,31.1,11.6,100.0,0.0,53.4,86.1,13.9,13.7,92.3,7.7,19.1,94.0,6.0
5.3,0.0,100.0,1.6,41.9,58.1,0,0,0,0,0,0,5.2,100.0,0.0,8.9,47.1,52.9,0,0,0,0.1,0.0,100.0
13.5,44.6,55.4,77.7,62.5,37.5,12.8,13.5,86.5,18.9,66.1,33.9,15.6,78.7,21.3,103.1,72.5,27.5,20.4,65.8,34.2,6.0,100.0,0.0
9.6,100.0,0.0,13.7,88.5,11.5,4.2,26.5,73.5,1.3,100.0,0.0,4.2,100.0,0.0,11.5,89.5,10.5,4.3,68.1,31.9,1.0,100.0,0.0
9.3,100.0,0.0,9.3,100.0,0.0,1.9,100.0,0.0,0,0,0,0,0,0,10.0,99.2,0.8,0.1,0.0,100.0,8.2,100.0,0.0
